,augmented_text,label
0,"Hi, my son is interested in the ai winter camp trying to think if its staff is similar to the ones in summer school ensure adults have a chance to make their own product portfolio all well when the time is so limited thanks",program_info
1,"Hi, my program is still in the ai winter camp and I wondered if its curriculum is similar to another camp in summer after its youth got an opportunity to make their own product portfolio as well since the area is so limited thanks to",program_info
2,"Hi, your son is staying in the ai winter camp and I wondered if its curriculum is similar to the classes in summer but the kiss are a means to make their own product portfolio in early as the time is comparatively limited",program_info
3,"Hi, my son is coming in to ai winter center and we wondered if its curriculum is similar to the camp for summer would the kiss have a chance to make my own product perform well since the time is fairly limited.",program_info
4,"I was looking at the site and just to make it official, this is their online camp right and I just have to pay for anything some of you get.",program_info
5,I keep looking at the results and just to make ourselves clear... is their online magazine right and do I have to pay for something if I accept it?,program_info
6,I was looking at a site and came to making this clear this is an online camp right back where I have to go for work if I get accepted.,program_info
7,"He was aimed at the blow and just like make it official, now is your online camp online and do I have to pay for anything if I get accepted?",program_info
8,"Hi there, I was wondering did or when we would get left to decide the date and begin our camp. Your webster lists three different dates and you had one new week in mind and I was just wondering if we would choose or not",program_info
9,Once there I was wondering if or when we should be able to decide the week people begin new lives your webster lists three consecutive weeks while i had a specific week in mind so I was just deciding if please choose,program_info
10,"Hi there, I was wondering if or when we would be able to decide the week we start our camp. Your appointment lists three different weeks now i had a specific week for town so I became just wondering if it choose",program_info
11,Even there I was wondering if or tomorrow we would be trying to decide the week we begin our taking your webster lists for different sites and we had a final week in mind though i was just wondering if we would choose or,program_info
12,masha and she discussed this as masha really wants her to do this starting now currently since she is a complete senior we feel it is best to continue until the college applications come all done so would it be possible for her to,program_info
13,masha and we agreed about nothing although masha really hopes to do this starting now currently but she is a rising senior we feel it is best that she sit until the college applications are all registered so would it be better for her,program_info
14,masha and we talked like this although masha really wants to get this started now since she is a rising senior but feel it is best that she waits until the college applications are all done so would it become easy for her,program_info
15,masha and we talked about this although masha really wants to do this starting now currently as she was a rising novelist we feel it probably best that she waits until the college applications are all done so would it be possible,program_info
16,"Hello Mr. Jackson, I am there so I think they will have to schedule morning s day since it is a brother since last day in town would be saturday present for what if you jyothi",program_info
17,Hello mr till 5 am sorry but I think I will have only schedule today's class since today became my brother's last chance in life next weekend work at him thank you jyothi janakiraman,program_info
18,"Thanks mr john, we still think i will have some use today's class since it's my brother's last day from hospital. I would not have worked today without you thank you jyothi ",program_info
19,"Okay, mr jackson, I am sorry but just think I will have them schedule today's class since it was my monday s every day in class would work for you too everyone mr janakir",program_info
20,"Hi, I registered for his address and she will have no details of where to access or control the program thanks riddim.",program_info
21,Hi there registered for the permanent board but I have vague ideas on how to complete or begin the job thanks riddle.,program_info
22,"Hi, I registered for the program and I mean no one likes how we access it. I visit the program thanks riddle.",program_info
23,"Hi, I got off the school but I know no details in which to access or apply the program thanks riddle.",program_info
24,"Hi rich, we're going to deliver my previous note, Amy doesn't want to wait and so I will see her started without a suitable mate, stephanie.",program_info
25,"Hi Jennies, I'm going to nominate my own note so that Janet doesn't need to share and so you'll get her there without more team around.",program_info
26,Bye rich i appreciate going to nominate my last note linsey does not wish to interrupt... hopefully we ll get her started needing a team mate stephanie.,program_info
27,Hi rich p m going to play from previous message linsey wouldn t want to share anything so we ll get stuck out without a team you stephanie.,program_info
28,Hi Ralph Lee is available for summer summer from academy i love beginning july th annual you give me an exact time and dates he is supposed not visit online during class thank you trainer.,program_info
29,"Hello, Ralph Lee is scheduled for their summer ai program just think before july we can and give me the usual time and dates she is supposed to be arriving for class thank you today.",program_info
30,Hi little lee is the schedule for the summer ai summer i think beginning july that week you give me an exact time change if someone is supposed to be online for class dear god trainer.,program_info
31,"Hello, Ralph Lee is scheduled into our live ai program i pm beginning july this second you provide us the exact time and dates he is supposed to be online for class during the trainer.",program_info
32,Goodby steve thank you for your support ralph preferred to do summer camp as steve felt he has a lot on his do with school and his issues with old which ralph is fighting hard so,program_info
33,Thank you for your response. Ralph preferred to do summer camp as he felt he showed a lot on his face with time and his issues with old which brandy was working hard on so we look forward to both the session tomorrow and,program_info
34,Hi rich thank you for your support jake wanted to do summer camp because he felt he had a lot on his plate with school and his brush with old as dad is working hard so we look forward to the session tomorrow and him,program_info
35,Hi rich thank you for your response ran chose to do summer camp as he felt he had to lot on his back from school and his battles with old which family is working on hard so we look forward to the session tomorrow and him,program_info
36,Jason thanks richard are there plans against a follow through class or project in the classroom but is that pretty much it we can change as parents do what they have done in the recent rods tony?,program_info
37,"Okay then, are there plans for a follow on class or project on the future or is that pretty empty sum? Can we watch parents view those they have done in every class project tony?",program_info
38,Thanks richard are there ready for a carry on class for more in the future or is that looking good? it also can we as parents view what they just published via these class rods tony.,program_info
39,ok thanks richard are there plans for a referendum on class or event in the future what is that and how much it also can go as at view what students have won at the class work tony?,program_info
40,"Hello, when will he receive him at that start of ai project on July th regards              ",program_info
41,"Please father, will I have information regarding the running of ai camp on thursday, seventh regards petty.",program_info
42,"Hello, will I receive information regarding my start of ai fusion from you?",program_info
43,For when will I receive confirmation regarding the start of 1 summer camp on 4th 1 petty?,program_info
44,"Since my editor was local santiago, they should not be able to attend the ai school next week.",program_info
45,Hi contestants host is michael santiago i won happily become able to attend the ai course next too.,program_info
46,"Hi, the name is kate santiago and I won't be able to find the ai ceremony next week.",program_info
47,So my name is local santiago and he won't be able to get an ai course next week.,program_info
48,"Hey no, I did not make it far to the main meeting today it comes at am and us and we thought it was possible but please still get lunch time.",program_info
49,"Hey sorry, I would really pass it out to the meeting today it is at sunrise for sunday and we have that was can I still get the video?",program_info
50,Are sorry i will not make it today call the university today it starts at am for monday and we thought it was time i not still open the message.,program_info
51,hey sorry i did not make it quickly into my club today it was 11 am for us and we thought it really nice i please still get your video.,program_info
52,"Hello Dr. and I can either call tuesday s and tuesday s sessions because yes, another session being scheduled can please send me more recording for tuesday s session",program_info
53,"For Dr. Hang, I can both make tuesday s and thursday t sessions because was another project being free for you please send me home computer for tuesday s session and",program_info
54,"Hello Dr. Hang, I can never make tuesday s and with s sessions because of that function being scheduled, can you please email me the recording of tuesday s performance and th",program_info
55,"Hello Dr. Clark, I can not miss the f and thursday s sessions because of another class no schedule can he kindly send me the recording by tuesday s session and c",program_info
56,mrs davis told me to ebook my class from the wednesday th run at eleven... gastro wrote:,program_info
57,mrs ann informed them to ebook my phone then to the on our day at pm german gastro wrote.,program_info
58,mrs ann wants him to ebook my class chapter one the on mon run 26 pm german gastro today.,program_info
59,Miss Wright told me to ebook my schedule from the u mon run at pm and gastro wrote that.,program_info
60,"Hello man salad, I signed up for your camp as I have great training in learning about the central intelligence, unfortunately the tidings don't match since as they are in the past and it would be really interesting for me to join",program_info
61,Hello man salad here has signed on for your camp as I have great interest in learning through artificial intelligence building the tidings better suit me like they are in the morning and it would be really hard for you to join for that time as,program_info
62,Hello Mr. Salad here you signed up for your camp with i have great interest in learning about artificial intelligence sadly the tidings would suit me but they are in the morning and this would be really hard for me to go,program_info
63,Friends man salad that we signed up for your camp as I have great interest in learning about experimental artificial intelligence sadly the tidings don't suit me although they are in the program and so would be really hard for me to join,program_info
64,This is actually still possible for register for the to process or is batch are the only support available via jessica.,program_info
65,Nor is it necessary to register for the camp 1 is batch 2 have only one available thanks!,program_info
66,Hello as it is still possible to register for the new camp or land in c with only one here thanks jessica.,program_info
67,Hello... it is still possible to register my items to do or is batch 23 the only one available thanks to me.,program_info
68,I would say working out the whole summer according to me and wondering if you knew different names for the work.,program_info
69,I would be busy throughout the whole work from to I of wondering where you had our uniforms for our classes.,program_info
70,"I would be here throughout the whole summer, but heaven was sure why you had usual times for two classes.",program_info
71,Beth would be jealous throughout the whole summer from where I get excited if they bought different times for the classes.,program_info
72,"In tired but missing the class, I had been in his job and I realized that I was an overlap. Is there any way to see how we can stop the class times?",program_info
73,"Sorry of missing the class, but I did know from my early and not realize standing there about any emergency. Is there any way to see if we can change the class times?",program_info
74,"Sorry for missing flight class. I had been working my best, but could not realize that there was an and is there another way we say if we can change the flight times?",program_info
