,augmented_text,label
0,To whom it you concern jack recently forwarded this message by leland high school which my son ralph is attending in with grade he has expressed interest in path and computer science for his career path and is interested in voice,scholarship
1,To whom it may concern i was forwarded this email by leland high school which my son ralph is attending in th grade he has expressed interest in path and computer science for his career path and is interested in,scholarship
2,To whom it may concern i was forwarded this email by leland high school which your son ralph is attending in th grade he has expressed interest in path and computer science for every career path and is interested in,scholarship
3,To whom these may concern i was forwarded this email by leland high school which my son ralph is attending in th grade he has expressed interest in path and computer science for his career path and is interested in,scholarship
4,To whom it may concern i was forwarded this email by leland high school which my fiance ralph is attending in th grade he has expressed interest in path and computer science for his career path and is interested,scholarship
5,To whom it may concern i was forwarded this email by leland high school which my son ralph is attending in th grade he expressed interest in path and computer science for his career path and is interested in voice,scholarship
6,To whom it may concern i usually send this email by this high school which my son ralph is attending in th grade he has expressed interest in path and library science for his career path and also interested in voice a,scholarship
7,To whom it may concern i was forwarded this email by leland high school which my grandson jay is attending in th grade grew has expressed interest in path and electronic science for his career path and is interested in using,scholarship
8,To whom it may concern i was forwarded in email by leland high school which his son ralph is attending in th grade he has expressed interest in path and computer science for his career path and is interested in,scholarship
9,... I need to prepare the true crime report if so i can provide an additional file in it sincerely michael nguyen.,scholarship
10,"Do I need to sign the whole monthly return if so, I should secure free additional file for them sincerely andy nguyen.",scholarship
11,Do I know never submit the inheritance tax return if so they can provide an additional file on yours sincerely andy.,scholarship
12,Do I need to download the whole tax return online so they can have this additional file for most sincerely miss nguyen?,scholarship
13,Do I urge to submit the whole tax return older so I can produce an english draft for it? sincerely please newsletter.,scholarship
14,Do I need to submit the whole tax check than ever a can send an update file for it sincerely mister nguyen.,scholarship
15,But I need help submitting the whole tax return if so they can do an audit file for it and andy please.,scholarship
16,Do I need... submit the whole tax report if ever i would provide this electronic file for it to andy nguyen?,scholarship
17,He does not need to pull the whole tax return just so I can provide an additional form for it without andy chorus.,scholarship
18,"Hi, I first want to say thank you how much for starting this program. I have a question at the initial application process, I just submitted the scholarship application yet I was wondering if I also need to submit a normal application as",scholarship
19,"Hi, I first wish to say thank you so much by starting this program. I have the question about the application if I have submitted a scholarship application and I was wondering if I also had to submit a normal application as ",scholarship
20,"Hi, I first want to thank you very much for starting this program. I have a question about the application process, I just wanted a scholarship too and I was wondering if I also needed to submit a normal application as well",scholarship
21,"Hi, I do want to understand thank you that much for starting this program. I have a little about the application process. I just submitted a scholarship application and I was wondering if I also needed to submit a college scholarship as",scholarship
22,"Hi, I first want to say thank you really much for starting this program. I have one question about the application process. I just submitted my new application and I was wondering whether I also needed to submit a normal application as well also ",scholarship
23,"Hi, I first want to say thank you so much for starting this party i had a question about the entire process i just submitted a scholarship application and I was wondering if I never needed to submit a normal application again",scholarship
24,"Hi, I first want to say thank you so kindly for starting this seminar i have a question about the recruiting process i just submitted a scholarship application and I was okay if daddy also needed you submit a normal",scholarship
25,"Hi, I first want to say thank you so much for starting this program. I have your question about the application because I just submitted a scholarship application and I was wondering if I also needed not submit our normal application as well... ",scholarship
26,"Hi, I first want to say thank you Lord so much for starting this program. You have a question about your application but I just submitted a regular application and I was wondering if I also needed to submit our normal application as well",scholarship
27,"Hello, I would like to know about other requirements to apply for the scholarship as an international student because I am really curious about these documents that sometimes educate me about the project is thanks your faithfully aboubakr el you.",scholarship
28,"Hello, he would only not talk about the requirements to apply for this scholarship as an international student because I am really thinking about that program and please tell me when that deadline reaches thanks your faithfully aboubakr el",scholarship
29,"Hello, I could like to know about the decision to apply for the scholarship as an international student, how is myself really interested in this program and please see that when the return comes thanks your faithfully aboubakr el habit",scholarship
30,"Hello, I would like to know whether the request to apply for the scholarship as an international student which I am really interested in another exam or to tell me when the deadline is thanks on faithfully aboubakr el king",scholarship
31,"Hello, I would like to know about the requirements to apply for the scholarship as an international student because I am really happy in your program, please refer to as the deadline is not yours and please el habit.",scholarship
32,"Hello, I will like to know about that possibility to attend for the scholarship as your unpaid scholarship because I am really interested in this program and please answer me when your deadline agrees thanks your faithfully aboubakr el",scholarship
33,"Hello, I would like you know that given all requirements I apply for your scholarship as an international student tonight. I am really interested in this program and please tell me how the deadline enters thanks your faithfully aboubakr e",scholarship
34,"Hello, I would like to know exactly the requirements to apply at the course as an international student yet I am really interested in your program and please tell me once a deadline is thanks me faithfully aboubakr el habit",scholarship
35,Hello he would like to know about his requirements to apply for the scholarship as an independent student also i feel really pleased at this information and please tell me when the deadline begins thanks your faithfully aboubakr el mo,scholarship
36,"Hi, my son received a scholarship for summer camp until not again occur any issue of pockets expenses in Victoria.",scholarship
37,"Hi old son is getting a scholarship through the arts, will there still be any out of pocket expenses tomorrow?",scholarship
38,"Hi, my son received her scholarship at that camp and there will hardly be any out of her pockets expenses.",scholarship
39,Now my son received a youth scholarship of that camp and will definitely still be out of pocket from Victoria.,scholarship
40,Great mon son and a scholarship for the camp will they still be out of pocket from you?,scholarship
41,Where my son received a scholarship for family law will there still be any out of state emma victoria?,scholarship
42,As in son received a scholarship for summer camp so there are still any out of school expenses in Victoria.,scholarship
43,"So my son secured a scholarship for the sport, but I still have our out of pocket expenses in Victoria.",scholarship
44,"Hi, my son received a scholarship for the camp and he never had any out at school expenses in Victoria.",scholarship
45,Hi my son just applied through the scholarship for college program he would not even be nominated for a scholarship based on income return i need to raise per copy of his school records to apply for a university award thanks ship,scholarship
46,Hi... my father just applied for a year into your program and they would not bother applying for a scholarship based on his income do I need to get a photograph of his school records to me for a merit scholarship thanks ship,scholarship
47,Was to son just applied in a scholarship for your program he would not be required for the diploma based s who do I need to get a copy of his school records to apply for a merit grant thanks ship.,scholarship
48,"Hi, my son is just applying for a scholarship to your program, but to not be eligible for a scholarship based on who do I have to get a signature over all school records to apply for a merit scholarship thanks ship",scholarship
49,"In my son who gives as a scholarship for your program, he would never have eligible for a ticket based on his income. Do I want to get another copy of his school records to apply for a merit scholarship like ship",scholarship
50,"Hi, my son just applied for a scholarship for summer program. I would not be eligible for a scholarship based on income if you wish to provide a copy of your school records to apply as a merit scholarship in ship",scholarship
51,Hi my son just recently seeking a professorship for your program he must not be pushing for a scholarship based public information do I need to get a copy of his class records to apply for a government scholarship? Thanks ship,scholarship
52,Hello neighbor son just applied into a scholarship for granulation program and might then be rewarded through a scholarship based on income do you need to get a copy of his school records to apply for a merit scholarship? ship,scholarship
53,"Hi, my son just applied against a scholarship for your program he shall not be eligible for a medal based on his income do I need to keep a copy of any academic records i apply for his merit program thanks ship",scholarship
54,Hi my girlfriend is paul lee and I really wanted to learn at this summer college so I noticed though after seeing your powerpoint that you men were giving scholarships through small income families but I looked around so there was no other story about it,scholarship
55,Actually my name is Paul Lee and who really wants new camp at this summer camp remember i noticed here after consulting your powerpoint that guns were giving scholarships to lower income families but I looked around and there was no insider information about it,scholarship
56,"Hi, my name is Paul Paul and I would want to play more this summer camp just i noticed though after seeing your powerpoint you guns were giving scholarships to lower income schools but i looked around and said there was no other sound about",scholarship
57,Hi my dad is Paul Lee and I cannot hope to learn at this summer camp. I noticed that after seeing your house you three were giving it to fixed income families so one looked around and there was no other information about it. How do,scholarship
58,"Hi, my name is Paul blame and I really love to learn at your summer camp. People noticed though after seeing your powerpoint you guns were giving out to low income families but have looked around why there were no other information about it how do",scholarship
59,Hi my name is Paul Lee and I merely needed to learn at local summer camp what I noticed was that after seeing your powerpoint you guns were giving it to lower income applicants but they looked around and there was no further information about it,scholarship
60,Hi my name is Paul Lee and just really hope to learn at this football camp. What I noticed though while seeing it powerpoint you have been giving scholarships to lower income families but I looked around and there was no other information about it how,scholarship
61,Hi my name is jay lee and I really want you to learn in this summer camp what someone noticed though was just seeing your powerpoint you guns from giving scholarships to lower income students but I looked outside and there was no other information about,scholarship
62,Willie hello name is Paul Lee if you really want to learn at this summer camp and nobody noticed though after seeing this powerpoint you guns were giving scholarships to lower income families but i looked around and there isn't,scholarship
63,Give a name is Julia Golovina and I recently pleaded for the family summer camp scholarship. Could you please understand if the foundation is actual money or the scholarship is the classes to you?,scholarship
64,Hello my name is andrew golovina and I recently applied for the ai summer camp franchise will you please clarify with me if another prize contains actual work or the scholarship is the classes thank you douglas golov,scholarship
65,"Hello, my name is Julia and now I keep applying for the college summer camp scholarship. Could you please clarify for me if the scholarship is the money or my scholarship is the same before you sera golovina?",scholarship
66,... my mother is julia golovina and I recently applied to your summer camp and could you please send for me if the scholarship is actual money through the scholarship and a classes thank you juli,scholarship
67,Hello my name is Julia Golovina earlier she had pushed for the ai ai camp scholarship could you please vote for me whether this scholarship is actual money or the scholarship for the classes thank you Julia Golovina,scholarship
68,Hello our name is Julia Golovina and had recently applied for the ai summer camp. How could you please decide for me if the scholarship implies actual money or her scholarship isn't a real gift? Thank you,scholarship
69,Hello my name is julia garrett and I recently applied for the miss ai camp scholarship. Could you please arrange for me if the scholarship works or not? Thank you julia golov,scholarship
70,Remember my sweetheart is julia golovina and you here applied for the ai winter camp scholarship could someone please decide without me whether the scholarship is actual money or the scholarship is the classes thank... j,scholarship
71,Hello my name is julia golovina and I recently applied for your ai summer camp scholarship you try to support me if the scholarship means actual money or the class and the classes thank you juli,scholarship
72,"Oh, with one more christmas, I did the best the boot camp did that year for the week long program sent from my mobile device.",scholarship
73,Then more and more things I need the scholarship for the camp that she applied for the week summer program sent from gas gas device.,scholarship
74,"But eh well, more information like did the scholarship for some camp friends that applied for the last summer program sent from my andros device.",scholarship
75,Oh for one sure thing I did the computer for our camp did that apply for this week they sent in my andros well.,scholarship
76,One good even more thing I did the scholarship for that camp did that today for the first summer program right from my andros.,scholarship
77,Oh... in more wonder besides did the scholarship for the camp did they teach for 1 week summer program sent from real andros device?,scholarship
78,Oh and one more thing you accepted college scholarship for the camp did you apply for the week summer program sent through my andros?,scholarship
79,"Oh yeah, one more one you did the same for boot camp did that apply for my special summer program if from my gas device?",scholarship
80,"The plan for the camp did, but not as the week summer program sent from my andros [UNK].",scholarship
81,"Hi ann, we first learned about this program last smelter so my secretary will get submit a scholarship application if that isn't anything i can do ok please let me know thanks marya.",scholarship
82,"Hi Ann, we too found out about this program last week and the friend did not deserve a scholarship as if there is nothing he can do now please watch me get thanks take.",scholarship
83,Beth and then we only found what was this program your week so my son would actually submit a scholarship application if there is yet he can do yes ok let me know thanks marya.,scholarship
84,"Hi Ann, we only found hints about our program in week so my son did not receive a scholarship application if there is anything it can do dear please do i send thanks information.",scholarship
85,"Hi Ann, we only found out about this program all week so your grandfather did not submit the scholarship application or there exists anything he can get now please let us stay... Marya.",scholarship
86,"Hi Ann, she only found out about the thing last week so my parents should never submit another scholarship application if there is anything they can do now to let me know about Marya.",scholarship
87,"Hi, we found out about another candidate last week so my son did not submit to a scholarship application however there is one he can do please please let somebody speak to Marya.",scholarship
88,Hi ann has only found out about this program yesterday week so my son may never submit this scholarship application no there is nothing he can hope for please let me know thanks marya.,scholarship
89,Maggie ann Mitchell only found out about this program last smelter so my son could not submit to a scholarship see if there is something he can do now to let everybody know about Marya.,scholarship
90,I am also interested in unrolling my year old son again away for the summer camp for study. I was doubtful if there is any scholarship option for this course now you Marya.,scholarship
91,"Hi, I am also interested in enrolling my 16 year old son again for the ai next period for weeks. I was wondering why there exists some other option for this course thank you Marya Khan.",scholarship
92,Do I feel interested in unrolling my nice old pal again ahead for the ai summer program for weeks i was wondering if there are worse job options across this course thank you at Khan Academy!,scholarship
