,Unnamed: 0,input,output
0,0,"Hi there,

We were not sure of the definition of low income for NY city, so we didn't
check off that box on the application. Is there an income number that you
use?

Thanks,
Julian",monetary_issues
1,1,"Hi,

My son is interested in the AI winter camp and I wondered if its curriculum
is similar to the camp in summer? Would the kids have a chance to make
their own product portfolio as well since the time is so limited?

Thanks",program_info
2,2,"I was looking at the website, and just to make it clear, this is an online
camp, right? And do I have to pay for anything if I get accepted?",program_info
3,3,"Thx for feedback,

Best
Randy",unactionable
4,4,"Hello AI Camp Scholarship Committee,

Thanks so much for letting me know.

Aleena would be really interested in this program so if you can consider
her for the summer camp 2022 that would be great.

Regards,
Sana",registration
5,5,"Hello AI Camp,

I hope all is well.

I wanted to reach out and see if you had a chance to review the scholarship
applications and when we should expect to hear back whether or not my
daughter Aleena Faisal qualified for it.

I believe the decisions were supposed to go out by 12/6 but she hadn't
received anything.

Thanks so much,
Sana Siddiqui
'",registration
6,6,"Hi there!
I was wondering if or when we would be able to decide the week we begin our
camp? Your website lists three different weeks and I had a specific week in
mind, so I was just wondering if we choose or not. Thank you!",program_info
7,7,"Hello!, 

YESSS! I can participate in Batch A or B!

https://youtu.be/6oVEehbf2PY 

Thank you,
Lilian Tran",unactionable
8,8,"Aasha and we talked about this. Although Aasha really wants to do this
starting now, currently since she is a rising senior, we feel it is best
that she waits until the college applications are all done. So, would it be
possible for her to get in touch with you once again in Feb 2022, and take
the 1:1 program.

Please let us know.
Thank You and Regards,
Divya Yeluri",program_info
9,9,"Aasha really enjoyed working on the Computer Vision project ""Leaf Disease
Detector"" . Appreciate all your help and support in training her.  All the
projects that were showcased on Friday, July 23rd were absolutely amazing.
Congratulations to the students of AI-camp and their mentors. Hope this
learning allows them to follow their passion and challenge themselves with
more confidence.

Best Regards
Divya Yeluri",unactionable
10,10,"Thank you Rich! This is perfect. Can you also give me the Tax ID for the camp? 

Thanks again, 
Christa Schmidt",monetary_issues
11,11,"Hello!

I signed my son Reyner Baker up for this session's Winter Camp. How do I go
about getting a receipt for tax purposes? I didn't see anything on the
website.

Thanks for any info.
Christa Schmidt",monetary_issues
12,12,"Hello Mr. Jackson,

I am sorry but I think I will have to reschedule todayâs class since itâs
my brotherâs last day in town. Would Saturday work for you?

Thank you,
Jyothi Janakiraman",program_info
