,augmented_text,label
0,"Hi there, we were not sure about the existence of double income for New York and so we could not check off that number on the left by there this income number that you use monthly.",monetary_issues
1,"Hi, hope we were not certain of his definition of low income lower ny city so we did not break off that box on their application form for an area number that you use thanks.",monetary_issues
2,"Go there we were not asking what the definition of fixed income little ny city was, so we did not check off that box on the left is there an elevator number who you use thanks now.",monetary_issues
3,But then we were most sure exactly the definition with low income for ny city so we did not exist for that but on the application is listed an income number that you use from julian.,monetary_issues
4,"Hi bad, we were not proud of that definition for zero income for ny city so we chose not to switch off each box on our application. Is there an application number that you use? Thanks Julian!",monetary_issues
5,"Hi there, we heard almost sure the current definition of fixed income southern ny city so we did not check off that box on goose application. Is there an id number that you use like today?",monetary_issues
6,"Hi there, we were not sure if the definition of low level for ny city us also did not check door to box because either application is there middle income number that you use thanks Julian.",monetary_issues
7,"Hi Mike, we were pretty sure of the truth of a code for New York City so why did not check off that box on the rear is the an exact code that you use thanks Julian!",monetary_issues
8,"Thank you for this is perfect, can you also give after the tax assessment about the camp thanks in Christ?",monetary_issues
9,"Why be rich? This seems perfect, can she also give me the tax ID for the current owner again?",monetary_issues
10,"Remember how rich it is agreed, but you also offer me the tax payments for the camp thanks again christ schmidt.",monetary_issues
11,"Thank you rich, this is free. Can you also give up the tax with taking the last road back christ schmidt?",monetary_issues
12,"Thank you Jack, this is perfect since you also gave up the tax reports back when camp started again christ schmidt.",monetary_issues
13,"Thank you rich, this is fine so you also give here the tax ID from our camp and again christ schmidt.",monetary_issues
14,Thank you rich this is she can even somehow hand her the correct ID for your camp thanks again christ schmidt.,monetary_issues
15,Make you rich this whole simple can it also give us some tax id for the camp thanks you christ schmidt.,monetary_issues
16,"Hello, I signed my son, james Thomas, up for this week's winter camp. How do I go about getting a receipt and tax purposes? Did you check anything on that webster or for any donations?",monetary_issues
17,"Well, I signed my granddaughter render baker up for one session s winter camp how do everyone dream about getting a license for tax purposes? did we see anything on the webster? thanks for many support christ schmidt",monetary_issues
18,"Hello, I signed my son render baker up for winter session s winter season how do you start when getting her receipt for tax purposes that did not see her in you webster thanks for any into christ schmidt.",monetary_issues
19,"Now that I signed you son down for this session's winter camp, how do I go about receiving a receipt for learning purposes? I did not see anything for my webster or for any into Christianity.",monetary_issues
20,"Hello, I signed your son up for this ′ s winter camp how will I go around getting a receipt if tax purposes i could finally notice anything on the webster thanks heaven any into christ schmidt.",monetary_issues
21,Would I have my son render baker up that first session of winter camp how would I go about getting 2 p for these taxes i did not see anything on the webster thanks for any into christ unknown.,monetary_issues
22,"Hello, I signed my friend render baker up for this session's winter camp. How do I get a receipt for special purposes? I shall not see anything at that register thanks for any help.",monetary_issues
23,"Hello, I signed my niece render baker over for this session s winter camp how well you go in getting a job back tax assured they did not see anything on the certificate thanks for any into christ schmidt.",monetary_issues
24,"Hi Michael, I left for winter camp since my son is not old yet or this course, and I was asking for a refund because they paid out the first time.",monetary_issues
25,"Hi Michael, I paid for winter service since my son is barely old enough to camp and I am asking for a little refund as I purchased during the college camp no counselor.",monetary_issues
26,"Hi Michael, we want winter activities as my son is not available for the course. We are asking for any refund which I paid for and other camp regards.",monetary_issues
27,Hi and I paid for winter camp since my son was not fit enough for normal course to call here for a refund and I paid you in winter camp regards chancre.,monetary_issues
28,jack michael I paid for winter camp because my mon is not doing enough in the program and I could apply for a refund which I paid for after winter camps.,monetary_issues
29,Hi see I paid for winter camp since my child is old enough to take the course and I am taking in a refund. I was paid when the winter camp regards me.,monetary_issues
30,"Hi Michael, I care for the camp since my death and he is not old enough for the summer course. We keep asking for a refund for what I need for the winter camp.",monetary_issues
31,I asked if I paid his winter play since my son is not old enough for the course... am asking for his refund however I did for many winter camps.,monetary_issues
32,Hello nobody just listened to this this morning it was a lot of fun i made a super bowl was a new cup can t send you pictures bc they still need to get fired i was wondering if,monetary_issues
33,"Hello, I just talked to this next morning it was a kind of fun I made a new bowl and a new cup doesn t send you pictures bc I still need to be fired i was damned ",monetary_issues
34,Hello I just went to this this time it is a lot of noise we made a new bowl and a new cup can t send you pictures sure they still need to be fired i was wondering if there was my timeline,monetary_issues
35,"Hello, I just went to this this morning it was a lot of fun I had a new bowl made a new cup can t send you pictures bc they still need to be fired i am wondering if there",monetary_issues
36,"Hello, I just went to bed this night it takes a lot of commotion. I made a new bowl and a new cup, but they still need to be changed. I was wondering if there was a timeline",monetary_issues
