,augmented_text,label
0,"Hi, my son is now in the ai winter camp and i wondered if its curriculum remains similar to our instruction in summer day the kiss have another chance to gain their basic athletic portfolio pretty well since the time is so limited thanks",program_info
1,"Hi, my son is interested in the ai winter camp and i wondered if its curriculum is removed from the game in summer would the kiss have some chance to make their own product portfolio and why your work time is quite limited thanks",program_info
2,Hi my thanks so interested in the ai winter smelter and never wondered if a curriculum and similar to summer camp in summer would the kiss have a chance that get their own product portfolio as well so the time is,program_info
3,He was looking for on the webster and please make him clear this is an online that was about do I have to pay for anything if I am accepted?,program_info
4,I was looking at a webster because just you make it clear this is an online camp right now do I have her pay for anything else i wanted to do?,program_info
5,I was just at my site and just to make that clear there is an online camp site and do things that pay for anything can I get accepted?,program_info
6,"Hi there, just wondering if or wherever we would be called... plan the week we begin our camp this webster lists three different weeks and I see a specific week in mind so I was really wondering if we would choose i",program_info
7,Hi everyone was wondering when we would be able to even work the week we begin our camp your webster lists three total weeks and i want a specific week in mind so i was just wondering if we would choose or not,program_info
8,"Hi name, I keep wondering if or when we would be able to decide the week we begin our camp. Your webster lists our coming issues well i had a full week in mind so I was just wondering if we",program_info
9,masha and I talked about this although masha really wants to get this started now since rachel is a rising senior we feel it is best that she waits until all the applications become all done so would it be,program_info
10,"masha and we talked about this and everybody really wants to do this starting now, since she is a rising one, we feel it is best that she waits until her college interviews are all done so would it be possible for her",program_info
11,masha and we talked about this although masha really plans to do this one early currently since she knows a rising leader we feel it is best that he waits until the college applications are all done that would not be possible,program_info
12,"Hello Mr. Jackson, I'm sorry but I think I do have to schedule today's... since that's your fault, your last day in town would be on Saturday for you thank me general janakiraman",program_info
13,Returning from herald i am happy but I think people will have to schedule today behind schedule since it is my brother's last day in town. Saturday would work for you with you Dr. Janakiraman.,program_info
14,"Hello mr joseph, sorry, let me think I do have to schedule today without class since that's my brother's last day in town would be saturday work well sunday thank you to jan",program_info
15,"Hi guns registered had the program, but I have some details on who to access or begin the data or yours.",program_info
16,"After I arrived at the program though, I have no details on how we create or send the program thanks riddle.",program_info
17,Hi again registered from the program but I want no details over how you access or begin application registration thanks riddle.,program_info
18,"Hi rich, I'm going to finish my previous note johnny doesn't want to know that probably we could get her letter without his team mate stephanie.",program_info
19,Hi rich i read going from nom my previous note linsey doesn't want or share anything so we must get this started without him team mate.,program_info
